,0,1
0,24,750
1,25,749
2,26,748
3,27,747
4,28,746
5,29,746
6,30,745
7,31,744
8,32,744
9,33,743
10,34,743
11,35,742
12,36,741
13,37,740
14,38,739
15,39,738
16,39,737
17,39,736
18,40,735
19,41,734
20,42,733
21,43,732
22,44,731
23,45,730
24,46,730
25,47,729
26,48,728
27,48,727
28,48,726
29,49,725
30,50,725
31,51,725
32,52,725
33,53,725
34,54,725
35,55,724
36,55,723
37,56,722
38,57,722
39,58,722
40,59,722
41,60,722
42,61,722
43,62,723
44,63,724
45,64,725
46,65,726
47,65,727
48,65,728
49,65,729
50,65,730
51,65,731
52,65,732
53,66,733
54,66,734
55,66,735
56,66,736
57,65,737
58,65,738
59,65,739
60,65,740
61,66,741
62,67,742
63,68,743
64,69,743
65,70,743
66,71,744
67,72,745
68,73,745
69,74,745
70,75,745
71,76,745
72,77,744
73,78,744
74,79,744
75,80,743
76,81,743
77,82,743
78,83,743
79,84,743
80,85,743
81,86,742
82,87,741
83,87,740
84,88,739
85,88,738
86,88,737
87,89,736
88,90,735
89,91,735
90,92,734
91,93,734
92,94,734
93,95,734
94,96,735
95,97,736
96,97,737
97,98,738
98,99,739
99,100,740
100,101,740
101,102,739
102,103,739
103,104,738
104,105,737
105,106,737
106,107,737
107,108,736
108,109,735
109,109,734
110,109,733
111,110,732
112,110,731
113,111,730
114,112,729
115,113,728
116,114,727
117,115,726
118,115,725
119,116,724
120,116,723
121,117,722
122,118,722
123,119,721
124,120,720
125,121,720
126,122,720
127,123,720
128,124,720
129,125,720
130,126,720
131,127,720
132,128,719
133,129,719
134,130,719
135,131,718
136,132,718
137,133,717
138,132,716
139,132,715
140,132,714
141,132,713
142,132,712
143,131,711
144,131,710
145,131,709
146,131,708
147,130,707
148,131,707
149,129,707
150,128,706
151,127,706
152,126,706
153,125,705
154,124,704
155,123,703
156,122,702
157,121,702
158,120,701
159,119,701
160,118,700
161,117,699
162,117,698
163,116,697
164,115,696
165,114,695
166,115,694
167,116,693
168,116,692
169,117,691
170,118,690
171,119,689
172,120,689
173,121,688
174,122,687
175,122,686
176,122,685
177,123,684
178,123,683
179,123,682
180,124,681
181,124,680
182,124,679
183,123,678
184,122,677
185,121,677
186,120,677
187,119,677
188,118,676
189,117,676
190,116,675
191,115,674
192,114,673
193,114,672
194,114,671
195,114,670
196,114,669
197,114,668
198,114,667
199,114,666
200,114,665
201,114,664
202,114,663
203,114,662
204,115,661
205,115,660
206,116,659
207,117,658
208,118,658
209,119,658
210,120,657
211,121,657
212,122,657
213,123,656
214,124,655
215,125,654
216,125,653
217,126,652
218,126,651
219,127,650
220,128,649
221,129,648
222,130,647
223,131,646
224,132,646
225,133,645
226,134,645
227,135,644
228,136,643
229,137,642
230,138,641
231,139,640
232,140,639
233,141,638
234,142,638
235,143,637
236,144,636
237,145,635
238,146,635
239,147,634
240,147,633
241,148,632
242,149,631
243,150,630
244,151,630
245,152,630
246,153,629
247,154,628
248,155,627
249,156,626
250,157,626
251,158,625
252,159,624
253,160,623
254,160,622
255,160,621
256,161,620
257,162,619
258,163,618
259,164,618
260,165,617
261,166,616
262,167,615
263,168,614
264,169,613
265,170,612
266,171,611
267,172,610
268,173,609
269,174,608
270,175,607
271,176,606
272,177,605
273,177,604
274,178,603
275,179,602
276,180,601
277,181,600
278,182,600
279,183,599
280,184,598
281,185,597
282,186,596
283,187,595
284,188,594
285,189,594
286,190,593
287,191,592
288,192,592
289,193,591
290,194,590
291,195,589
292,196,589
293,197,589
294,198,589
295,199,589
296,200,589
297,201,588
298,202,587
299,203,586
300,204,586
301,205,585
302,206,585
303,207,584
304,207,583
305,207,582
306,207,581
307,208,580
308,209,579
309,209,578
310,208,577
311,207,576
312,206,575
313,206,574
314,206,573
315,207,572
316,208,571
317,209,571
318,210,570
319,211,570
320,212,569
321,213,568
322,214,567
323,214,566
324,215,565
325,216,564
326,215,563
327,214,562
328,214,561
329,214,560
330,214,559
331,214,558
332,215,557
333,216,557
334,217,556
335,218,555
336,219,555
337,220,555
338,221,554
339,222,554
340,223,554
341,224,554
342,225,554
343,226,554
344,227,554
345,228,554
346,229,554
347,230,554
348,231,553
349,232,553
350,233,552
351,234,551
352,235,551
353,236,551
354,237,551
355,238,550
356,239,549
357,240,549
358,241,548
359,242,547
360,242,546
361,243,545
362,244,545
363,245,545
364,246,544
365,246,543
366,247,542
367,248,541
368,249,541
369,250,541
370,251,541
371,252,540
372,252,539
373,253,538
374,253,537
375,253,536
376,253,535
377,254,534
378,255,534
379,256,533
380,257,532
381,258,531
382,258,530
383,259,529
384,259,528
385,260,527
386,261,526
387,262,525
388,262,524
389,263,523
390,264,523
391,265,522
392,266,522
393,267,521
394,267,520
395,267,519
396,266,518
397,265,517
398,266,516
399,267,515
400,268,514
401,268,513
402,268,512
403,269,511
404,269,510
405,269,509
406,269,508
407,269,507
408,269,506
409,269,505
410,269,504
411,269,503
412,270,502
413,271,501
414,272,501
415,273,501
416,274,501
417,275,500
418,276,499
419,277,498
420,278,497
421,279,496
422,279,495
423,279,494
424,279,493
425,279,492
426,280,491
427,281,490
428,282,490
429,283,490
430,284,490
431,285,489
432,286,489
433,287,489
434,288,488
435,289,488
436,290,488
437,291,488
438,292,488
439,293,487
440,294,486
441,295,485
442,296,484
443,297,483
444,298,482
445,299,481
446,300,481
447,301,482
448,302,483
449,302,484
450,302,485
451,301,486
452,301,487
453,301,488
454,302,489
455,303,489
456,304,490
457,305,491
458,306,492
459,307,492
460,308,492
461,309,493
462,310,494
463,311,495
464,312,495
465,313,495
466,314,495
467,315,495
468,316,495
469,317,496
470,318,496
471,318,497
472,318,498
473,319,499
474,320,499
475,321,499
476,322,499
477,323,500
478,324,500
479,325,500
480,326,500
481,327,499
482,328,498
483,329,498
484,330,497
485,331,496
486,332,496
487,333,496
488,334,496
489,335,495
490,336,494
491,337,494
492,338,494
493,339,495
494,340,495
495,341,494
496,342,494
497,343,494
498,344,494
499,345,494
500,346,494
501,347,495
502,348,495
503,349,494
504,350,494
505,351,494
506,352,494
507,353,493
508,354,493
509,355,492
510,356,492
511,357,492
512,358,491
513,359,490
514,360,489
515,360,488
516,360,487
517,360,486
518,360,485
519,361,484
520,362,483
521,363,482
522,364,481
523,365,481
524,366,480
525,367,480
526,368,479
527,369,478
528,370,477
529,371,476
530,372,475
531,373,474
532,374,474
533,375,474
534,376,474
535,377,474
536,378,474
537,379,474
538,380,473
539,381,472
540,382,471
541,383,470
542,384,470
543,385,470
544,386,469
545,387,469
546,388,469
547,389,469
548,390,469
549,391,469
550,392,469
551,393,469
552,394,469
553,395,468
554,396,468
555,397,467
556,398,467
557,399,467
558,400,467
559,401,467
560,402,466
561,403,466
562,404,465
563,405,465
564,406,465
565,407,464
566,408,463
567,409,463
568,410,463
569,411,462
570,412,462
571,413,462
572,414,461
573,414,460
574,415,459
575,415,458
576,416,457
577,417,457
578,418,457
579,419,458
580,420,459
581,420,460
582,420,461
583,420,462
584,420,463
585,421,464
586,422,465
587,423,465
588,424,465
589,425,466
590,426,467
591,427,468
592,428,468
593,429,468
594,430,468
595,431,468
596,432,468
597,433,469
598,433,470
599,433,471
600,433,472
601,433,473
602,433,474
603,433,475
604,433,476
605,434,477
606,435,477
607,436,477
608,437,476
609,438,475
610,439,475
611,440,474
612,441,474
613,442,473
614,443,473
615,444,474
616,444,475
617,444,476
618,444,477
619,444,478
620,445,479
621,446,480
622,447,481
623,448,482
624,449,483
625,450,484
626,451,485
627,452,486
628,453,486
629,454,486
630,455,485
631,456,484
632,457,483
633,458,482
634,459,481
635,460,480
636,459,479
637,459,478
638,459,477
